,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
17,2018-004081-34,,Netherlands - Competent Authority,2019-09-16,2021-01-29,Completed,Psychiatry and Psychology [F] - Psychological processes [F02],Understand the underlying mechanisms of the relationship between patient and physician.,,Therapeutic use (Phase IV),Adults (18-64 years),Male
55,2013-002226-23,Norway,Norway - NOMA,2013-11-12,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],Main-goal Explore whether pain management can improve depression in patients with dementia,"Diagnosis, Therapy, Safety, Efficacy",Therapeutic use (Phase IV),Elderly (>=65 years),"Female, Male"
62,2012-000309-60,Sweden,Sweden - MPA,2014-04-08,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"It is known that the serotonin reuptake inhibitor escitalopram is effective for the treatment of premenstrual dysphoric disorder. The aim of the present study is to investigate the mechanisms underlying this effect. The questions to be addressed are i) if women with PMDD display differences in blod and/or CSF between the symptomatic (premenstrual) and the asymptomatic (postmenstrual) cyclic phase regarding levels of gonadal steroids, neurosteroids, inflammatory markers or various markers of brain neurotransmission, ii) to which extent these parameters correlate with each other and/or symptom intensity and iii) to what extent these parameters are affected by treatment with escitalopram. Det är känt att serotoninåterupptagshämmaren escitalopram har gynnsam effekt vid premenstruellt dysforiskt syndrom. Syftet med den aktuella studien är att undersöka mekanismerna bakom denna effekt. Frågeställningarna är i) om det, hos kvinnor med PMDS, går att identifiera skillnader i blod och/eller ryggmärgsvätska mellan symptomatisk (premenstruell) och aymptomatisk (postmenstruell) cykelfas i blod och/eller ryggmärgsvätska vad avser nivåer av könshormoner, neurosteroider, inflammatoriska markörer eller markörer för central nervtransmission, ii) i vad mån dessa parametrar korrelerar med varandra och/eller med symtomintensiteten och iii) i vad mån dessa parametrar påverkas av behandling med escitalopram.",,Therapeutic use (Phase IV),Adults (18-64 years),Female
74,2014-000647-32,Sweden,Sweden - MPA,2014-04-08,,Ongoing,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],Do degarelix reduce the risk of committing sexual child molestation for patients with pedophilic disorder?,Therapy,Therapeutic exploratory (Phase II),Adults (18-64 years),Male
157,2016-005111-40,United States,,2017-04-07,,,Psychiatry and Psychology [F] - Behaviours [F01],"The primary objective of this trial was to compare the efficacy of flexibly dosed aripiprazole with that of placebo in reducing serious behavioral problems, specifically irritability, agitation, and self-injurious behavior, in children and adolescents with a diagnosis of AD, as measured by change from baseline to endpoint on the Irritability Subscale of the Aberrant Behavior Checklist (ABC).","Safety, Efficacy",Therapeutic exploratory (Phase II),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
263,2015-004745-70,Netherlands,Netherlands - Competent Authority,2018-08-02,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],Primary Objective To investigate the anti-suicidal effects of a single dose of intranasal ketamine in acutely suicidal subjects.  Het onderzoeken van het antisuïcidale effect van een eenmalige dosering van intranasale ketamine in acuut suïcidale proefpersonen.,"Prophylaxis, Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
413,2019-001326-10,Denmark,Italy - Italian Medicines Agency,2020-10-07,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the effectiveness of 12-week acute treatment with flexible dose 5-20 mg/day vortioxetine on depressive symptoms in patients with major depressive disorder (MDD) and early dementia Valutare l'efficacia di un trattamento acuto di 12 settimane con vortioxetina a una dose flessibile di 5-20 mg/die su sintomi depressivi in pazienti con disturbo depressivo maggiore (MDD) e demenza precoce,Efficacy,Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
444,2019-001326-10,Denmark,Spain - AEMPS,2019-12-02,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the effectiveness of 12-week acute treatment with flexible dose 5-20 mg/day vortioxetine on depressive symptoms in patients with major depressive disorder (MDD) and early dementia Evaluar la eficacia de un tratamiento breve de 12 semanas de duración con dosis flexibles de entre 5 y 20 mg/día de vortioxetina en los síntomas depresivos de pacientes con trastorno depresivo mayor (TDM) y demencia precoz,Efficacy,Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
523,2016-002327-29,Hungary,Bulgarian Drug Agency,2016-10-24,2018-06-19,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"•Assess PK, safety and tolerability of up to 3 doses of once daily cariprazine capsules •Investigate dosing requirements of cariprazine in adolescents •Determination of the PK parameters of cariprazine (CAR) and its two metabolites, desmethyl cariprazine (DCAR) and didesmethyl cariprazine (DDCAR) in adolescents at steady state, compared to adults •Estimation of the inter-individual variability of the PK parameters in the adolescent population •Evaluation of the relationship between different covariates (age, body weight) and the PK parameters •Examination of the dose linearity of exposure in adolescents",Safety,Human pharmacology (Phase I),"Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
525,2016-002408-13,Netherlands,Netherlands - Competent Authority,2016-07-25,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],Reduce behavioral symptoms,Efficacy,Therapeutic exploratory (Phase II),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
553,2016-005013-47,Sweden,Sweden - MPA,2017-01-03,,Ongoing,Psychiatry and Psychology [F] - Behaviours [F01],To evaluate the ability of the fatty acid amide hydrolase (FAAH) inhibitor PF-04457845 to potentiate extinction of fear memories using a laboratory paradigm in healthy volunteers.,,Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
598,2016-003990-17,Netherlands,Hungary - National Institute of Pharmacy,2017-05-02,2018-12-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to evaluate the efficacy of intranasal esketamine 84 mg compared with intranasal placebo in addition to comprehensive standard of care in reducing the symptoms of MDD, including suicidal ideation, in subjects who are assessed to be at imminent risk for suicide, as measured by the change from baseline on the Montgomery-Asberg Depression Rating Scale (MADRS) total score at 24 hours post first dose.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
608,2016-003990-17,Netherlands,Slovakia - SIDC (Slovak),2017-04-04,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to evaluate the efficacy of intranasal esketamine 84 mg compared with intranasal placebo in addition to comprehensive standard of care in reducing the symptoms of MDD, including suicidal ideation, in subjects who are assessed to be at imminent risk for suicide, as measured by the change from baseline on the Montgomery-Asberg Depression Rating Scale (MADRS) total score at 24 hours post first dose.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
609,2016-003990-17,Netherlands,Germany - BfArM,2017-04-27,2018-12-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to evaluate the efficacy of intranasal esketamine 84 mg compared with intranasal placebo in addition to comprehensive standard of care in reducing the symptoms of MDD, including suicidal ideation, in subjects who are assessed to be at imminent risk for suicide, as measured by the change from baseline on the Montgomery-Asberg Depression Rating Scale (MADRS) total score at 24 hours post first dose.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
615,2016-003990-17,Netherlands,Bulgarian Drug Agency,2017-05-29,2018-12-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to evaluate the efficacy of intranasal esketamine 84 mg compared with intranasal placebo in addition to comprehensive standard of care in reducing the symptoms of MDD, including suicidal ideation, in subjects who are assessed to be at imminent risk for suicide, as measured by the change from baseline on the Montgomery-Asberg Depression Rating Scale (MADRS) total score at 24 hours post first dose.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
