,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
15,2019-002078-30,Netherlands,Netherlands - Competent Authority,2020-03-24,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Providing proof of a therapeutic effect of IVIg in autoimmune epilepsy, both clinically and serologically. Het leveren van bewijs voor een therapeutisch van IVIg in auto-immuun epilepsie, zowel klinisch als serologisch.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
47,2013-001722-25,Netherlands,Netherlands - Competent Authority,2013-08-12,2018-09-27,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],investigate whether early treatment with cholinesterase inhibitors delays the progression of minor VH to major visual hallucinations without insight or Parkinson's disease associated psychosis.,"Prophylaxis, Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
53,2011-004187-30,Israel,Germany - BfArM,2011-11-18,2016-07-26,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of the trial is to assess whether 10 mg ladostigil q.d. can slow or stop the conversion from Mild Cognitive Impairment (MCI) to Alzheimer’s disease (AD) during a three year treatment period compared to placebo. The primary endpoint will be the percentage of subjects that progress from MCI to probable or possible AD according to NINCDS-ADRDA criteria. Conversion to AD will be determined using Clinical Dementia Rating (CDR).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
59,2011-004187-30,Israel,Austria - BASG,2011-11-14,2016-07-26,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of the trial is to assess whether 10 mg ladostigil q.d. can slow or stop the conversion from Mild Cognitive Impairment (MCI) to Alzheimer’s disease (AD) during a three year treatment period compared to placebo. The primary endpoint will be the percentage of subjects that progress from MCI to probable or possible AD according to NINCDS-ADRDA criteria. Conversion to AD will be determined using Clinical Dementia Rating (CDR).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
69,2017-000494-36,Switzerland,Germany - BfArM,2017-06-02,2018-04-25,Completed,Diseases [C] - Nervous System Diseases [C10],• To assess the pharmacodynamics by means of the change in intermittent photic stimulation (IPS)-induced photoparoxysmal response (PPR) in male and female subjects with photosensitive epilepsy following single dose administration of ACT-709478.,Safety,Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
78,2017-000494-36,Switzerland,France - ANSM,2017-10-30,2018-04-25,Completed,Diseases [C] - Nervous System Diseases [C10],• To assess the pharmacodynamics by means of the change in intermittent photic stimulation (IPS)-induced photoparoxysmal response (PPR) in male and female subjects with photosensitive epilepsy following single dose administration of ACT-709478,Safety,Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
82,2010-023878-40,Austria,Austria - BASG,2011-12-05,2019-12-10,Completed,Diseases [C] - Nervous System Diseases [C10],"o demonstrate the influence of intra-arterial cerebral Papaverine Hydrochloride on cerebral glucose, lactate, pyruvate, glycerol, and glutamate concentrations and cerebral oxygenation in patients suffering severe post-SAH cerebral VSP","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
112,2015-005674-37,United States,Germany - BfArM,2016-07-27,2019-08-20,Completed,Diseases [C] - Nervous System Diseases [C10],"Primary objective To evaluate the safety and tolerability of long-term intermittent use of lasmiditan 100 mg and of lasmiditan 200 mg, as the first and as a second dose, in the acute treatment of migraine.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
121,2015-005674-37,United States,UK - MHRA,2016-07-13,2019-08-20,Completed,Diseases [C] - Nervous System Diseases [C10],"Primary objective To evaluate the safety and tolerability of long-term intermittent use of lasmiditan 100 mg and of lasmiditan 200 mg, as the first and as a second dose, in the acute treatment of migraine.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
173,2017-003008-30,United Kingdom,UK - MHRA,2018-05-17,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],"Primary: Cerebral arterial hemodynamics  To establish whether simvastatin has an effect on cerebral blood flow (CBF) in SPMS measured at baseline, 16 and 20 weeks using arterial spin labelling (ASL) MRI.  We expect ASL to be able to detect subtle changes in CBF at baseline, 16 and 20 weeks comparing placebo to simvastatin treated patients.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
177,2017-000611-17,United States,,2017-08-28,,,Diseases [C] - Nervous System Diseases [C10],To examine the safety of M071754 when administered for a long time in patients with infantile spasms and also to investigate its efficacy.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Infants and toddlers (28 days-23 months), Children (2-11years)","Female, Male"
199,2017-000755-97,Switzerland,,2017-03-16,,,Diseases [C] - Nervous System Diseases [C10],"Improvement of mobility, to enable performance of daily tasks. To be evaluated and quantified using the Fugl-Meyer Assessment: motor arm. The test will be carried out before the therapy, at the end of the therapy, and 6 months after the therapy.",Therapy,Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
221,2017-000990-35,Italy,Italy - Italian Medicines Agency,2020-01-14,,Ongoing,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the effects of AGO on depressive symptoms of PWE as compared to escitalopram as active control. L’obiettivo primario di questo studio è la valutazione dell’effetto dell’Agomelatina sui sintomi depressivi nelle persone affette da epilessia comparato all’Escitalopram come controllo attivo.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
