RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
181,2016-004740-11,MK-3475-522,Interventional studies with investigational medicinal products,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co. Inc.","A Phase III, Randomized, Double-blind Study to Evaluate Pembrolizumab plus Chemotherapy vs Placebo plus Chemotherapy as Neoadjuvant Therapy and Pembrolizumab vs Placebo as Adjuvant Therapy for Triple Negative Breast Cancer (TNBC)",Active,,20/03/2017,21/03/2017,"A Phase III, Randomized, Double-blind Study to Evaluate Chemotherapy plus Pembrolizumab vs Chemotherapy plus Placebo as Neoadjuvant Therapy and Pembrolizumab vs Placebo as Adjuvant Therapy for Triple Negative Breast Cancer (TNBC)",No,Neoadjuvant and adjuvant treatment for locally-advanced TNBC,,Yes,,"Adult , Elderly","Female , Male"
221,2016-002744-17,MA39189,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"MULTICENTER, INTERNATIONAL, DOUBLEBLIND, TWO-ARM, RANDOMIZED, PLACEBO CONTROLLED PHASE II TRIAL OF PIRFENIDONE IN PATIENTS WITH UNCLASSIFIABLE PROGRESSIVE FIBROSING ILD",Active,,07/04/2017,28/07/2017,A Study of Pirfenidone in Patients with Unclassifiable Progressive Fibrosing Interstitial Lung Disease,No,Fibrosing interstitial lung disease (ILD) of unknown origin,Yes,,,"Adult , Elderly","Female , Male"
241,2011-005249-12,EFC11759,Interventional studies with investigational medicinal products,Genzyme Corporation,"A Two Year, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Trial to Evaluate Efficacy, Safety, Tolerability, and Pharmacokinetics of Teriflunomide Administered Orally Once Daily in Pediatric Patients with Relapsing Forms of Multiple Sclerosis Followed by an Open-Label Extension",Not Commenced,,08/03/2017,28/04/2017,"Efficacy, Safety and Pharmacokinetics of Teriflunomide in Pediatric Patients with Relapsing Forms of Multiple Sclerosis",Yes,Multiple Sclerosis,,Yes,,Under 18,"Female , Male"
302,2015-004477-32,CAIN457F2366,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, active control, multicenter study to evaluate the efficacy at week 52 of subcutaneously administered secukinumab monotherapy compared with subcutaneously administered adalimumab monotherapy in patients with active psoriatic arthritis",Ended,,19/04/2017,26/04/2017,Efficacy of secukinumab compared to adalimumab in patients with psoriatic arthritis,No,Psoriatic Arthritis,,Yes,,"Adult , Elderly","Female , Male"
721,2016-004015-13,FMD-TRI-2016-01,Interventional studies with investigational medicinal products,Ferrer Internacional S.A,"A phase III, international, multicenter, randomized and open label study to evaluate the efficacy on LDLc and blood pressure reduction and safety of Trinomia® versus usual care in patients with very high cardiovascular risk without previous cardiovascular event. The VULCANO trial",Active,,28/04/2017,05/06/2017,Clinical study to evaluate the efficacy on cholesterol and blood pressure reduction and safety of Trinomia® versus usual care in patients with very high cardiovascular risk without previous cardiovascular event.,No,Very high cardiovascular risk without previous cardiovascular event,,Yes,,"Adult , Elderly","Female , Male"
741,2014-002632-14,ODYSSEY(PENTA20),Interventional studies with investigational medicinal products,Fondazione PENTA ONLUS,A randomised trial of dolutegravir (DTG)-based antiretroviral therapy vs. standard of care (SOC) in children with HIV infection starting first-line or switching to second-line ART.,Active,,15/05/2017,24/07/2017,A randomised trial of dolutegravir (DTG)-based antiretroviral treatment vs standard of care (SOC) in children with HIV infection starting first treatment or switching to second-line antiretrovirals.,No,Paediatric HIV infection,Yes,Yes,,Under 18,"Female , Male"
761,2016-003093-40,FADOI_032016,Interventional studies with investigational medicinal products,FONDAZIONE FADOI,"Apixaban for the treatment of venous thromboembolism in patients with cancer: a prospective randomized open blinded end-point (PROBE) study - the Caravaggio study 
",Active,,07/06/2017,30/06/2017,Apixaban for the treatment of venous thromboembolism in patients with cancer,No,Venous thromboembolism in cancer patients ,,Yes,,"Adult , Elderly","Female , Male"
781,2013-000267-84,CSOM230B2412,Interventional studies with investigational medicinal products,Novartis Pharma AG,"An open label, multicenter pasireotide roll over protocol for patients who have completed a previous Novartis sponsored pasireotide study and are judged by the investigator to benefit from continued pasireotide treatment",Not Commenced,,07/04/2017,26/04/2017,Study to roll over patients who have completed a study with pasireotide and benefit from the study treatment.,No,"Cushing's disease
Acromegaly 
Carcinoid tumors
Rare tumors of neuroendocrine origin
Dumping Syndrome
Metastatic melanoma 
Metastatic Merkel cell carcinoma ",,,Yes,"Adult , Elderly","Female , Male"
801,2015-001924-40,GED-0301-CD-003,Interventional studies with investigational medicinal products,"CELGENE, SOCIEDADE UNIPESSOAL, LDA.","A Phase 3, randomized, double-blind, placebo-controlled, multicenter study to investigate the efficacy and safety of mongersen (GED-0301) for the treatment of adult and adolescent subjects with active Crohn¿s disease",Not Commenced,,29/05/2017,26/06/2017,A study to evaluate the drug Mongersen (GED-0301) for the treatment of Crohn's disease in adults and adolescents. ,No,Active Crohn's disease  ,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
821,2016-003202-14,PCYC-1141-CA,Interventional studies with investigational medicinal products,Pharmacyclics LLC,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton¿s Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Combination with Rituximab versus Placebo in Combination with Rituximab in Treatment Naïve Subjects with Follicular Lymphoma",Active,,17/05/2017,15/05/2017,"A Clinical Study of Rituximab with Ibrutinib Compared to Rituxumab Alone, and Subsequently of Ibrutinib Alone Compared to Placebo in Treatment Naïve Subjects with Follicular Lymphoma",No,Follicular lymphoma,,Yes,,"Adult , Elderly","Female , Male"
